# General
## Title
### Hydropower Generation (Pondage); data for ENTSO-E PECD Version 4.2; file version fv1
## Abstract
### ERA5
## Date
### 2025-06-17
## Date type
### Publication: Date identifies when the data was issued
## Unit
### MWh
## URL
### https://cds.climate.copernicus.eu/
## Data format
### CSV
## Keywords
### ERA5 : reanalysis : Copernicus : C3S : C3S Energy : ICS
## Point of contact
### Individual name
#### Alberto Troccoli
### Electronic mail address
#### info@inclimateservice.com
### Organisation name
#### Inside Climate Service
### Role
#### Owner: Party that owns the resource
# Usage
## Access constraints
### Intellectual property rights: The IP of these data belongs to the EU Copernicus programme
## Use constraints
### Creative Commons
## Citation(s)
### Hersbach, H.; Bell, B.; Berrisford, P.; Hirahara, S.; Horanyi, A.; Munoz-Sabater, J.; Nicolas, J.; Peubey, C.; Radu, R.; Schepers, D.; et al. The ERA5 global reanalysis. Q. J. Roy. Meteor. Soc. 2020, 146, 1999-2049, doi:10.1002/qj.3803
## Temporal extent
## Begin date
### 2007-12-31-0000
## End date
### 2008-12-22-0000
## Temporal resolution
### 7 days
## Geographic bounding box
### westBoundLongitude -31.00
### eastBoundLongitude 45.00
### southBoundLatitude 18.00
### northBoundLatitude 75.00
## Spatial resolution
### Pan-European Bidding Zones Onshore
# Lineage Statement
## Original Data Source
## Statement
### The original data sources are ECMWF ERA5 Reanalysis (available at: https://cds.climate.copernicus.eu)
#
Date,AT00,BA00,GR00,HR00,LV00,PT00,SI00,SK00
2008-04-14,74018.50038835216,15787.658710259268,943.403512460456,33666.82476089541,129144.69708230166,16333.310072940643,59104.42681845002,16199.681825440515
2008-04-21,99408.50774090196,14554.282726830705,945.4201773846928,31911.94138001868,102261.41843911032,15366.480975615665,59773.389759244994,15053.2264321814
2008-04-28,103674.1135795704,11890.827546430834,923.1092781102805,28038.08394641092,88187.74805553991,14085.61985980396,56776.742745909294,13906.261090127027
2008-05-05,105639.13213553258,11059.485510204127,952.1468406982066,27550.813670587424,78656.0919413977,13545.196081690428,55441.01332644399,13162.94109931401
2008-05-12,108159.6471136981,9361.685826437755,888.6425327659106,27981.039773253106,72929.93586620057,13935.335189230522,54945.81702964401,13550.59338403048
2008-05-19,107462.08242043096,9446.883883898485,863.0452243885026,27624.79607528286,62221.66789170427,15802.588492924671,63445.878479149,13709.70613403838
2008-05-26,98386.3452717754,7038.57003223942,922.835132638074,27558.05477562207,49867.05565168726,16504.940054701452,54012.09971573781,12564.6703476644
2008-06-02,110627.71821234137,6838.658576635844,884.2575384927032,32653.67723886141,30343.163629561503,14260.006054895886,73844.38836276492,12544.059176588577
2008-06-09,107358.21518609184,6594.8386231076365,888.2704479985374,33356.47283970068,26385.71413289168,13092.954212313412,75024.25583195583,12543.268468673275
2008-06-16,104369.07723323363,5182.046279395022,1352.9622234275191,31716.61044245892,22931.72787200294,12403.485622585453,73496.82633988834,11867.023986838658
2008-06-23,99750.96678317049,4253.685862954938,1427.4119565943402,30457.872236162944,24795.01164209398,11837.109305178012,68960.32927808691,10836.299079682343
2008-06-30,91531.0086982676,3713.2730353902302,1400.756036895328,28349.618631779565,21943.200953463627,10700.366777204044,61964.72013500361,10506.221567061935
2008-07-07,81909.6357341782,3427.950673840301,1329.7171937969106,27758.37364659897,18965.074756794675,9880.959303943884,57033.43856954156,10044.747792413877
2008-07-14,94076.79879329512,3301.359252261193,1164.1271099549422,27755.9328340585,19554.44362339481,9732.424791448942,62972.39481858625,14918.760100860574
2008-07-21,99048.01416151726,4260.61565234333,1199.9032576478987,28582.4099142975,17158.32435403326,9271.856119763135,65217.685914072405,19688.28800445437
2008-07-28,99191.77124288947,3853.18174436046,1175.7152372017772,27714.97587636491,16348.751933652198,9203.37914387718,61129.37863905278,17948.32038851072
2008-08-04,94386.70579646272,3391.179218569084,1156.316365709453,28006.47311489328,19551.91801080828,9181.295514084257,63391.60635466236,16956.191588555565
2008-08-11,105636.166446916,3196.0352405506947,1090.1101910363604,27121.60008935845,20953.459490566704,8486.249039810395,68776.79404713404,14879.48232244456
2008-08-18,100665.76990762918,3230.7104455522644,1109.3996009190007,26755.509100002047,25726.98789164529,7903.792171820983,65428.10138914147,13254.826505822124
2008-08-25,80472.69891775554,3251.459651162535,1092.386762485622,26935.358577138584,26849.167574146784,7925.93117865155,57356.55903993882,11550.292878499838
2008-09-01,68322.38370443987,3272.9252828988456,950.6223684853404,26216.195723089124,25425.67598683805,6988.584285791894,55286.56661678736,10767.284560603654
2008-09-08,67500.32182181849,3307.3023099343404,1147.5497732054023,27041.97775071809,24734.4939102436,6738.867470668694,53165.510023274495,10364.133087921864
2008-09-15,72668.40558416129,4461.901676048659,660.0257677083462,25660.807841124268,24895.15272131875,6868.838692229924,48637.01774012278,11774.832282763904
2008-09-22,69165.96196791665,5658.305208315416,623.6721951873129,25768.910621722025,20708.30996514773,7112.489534040546,44218.99675580597,11396.031296607403
2008-09-29,71278.0674873056,6830.2259317180415,656.9603959411099,26341.14290554549,22347.636325779546,7449.7932090268605,51285.47311282845,11794.123686537943
2008-10-06,60157.95708123947,6008.751355919525,638.1887455616244,25303.53296543253,20157.317390862085,7926.873841511207,46396.62882519789,10713.182453105315
2008-10-13,57178.31611564337,6047.884546841367,669.9803603768404,25322.935473584817,27100.88143623459,7393.877148460977,48335.55117147663,10296.540451740417
2008-10-20,53137.73411356197,6179.559578763906,662.2314268218837,24843.424432685737,26780.97910438535,6889.253124677932,42163.92669971971,9693.31308347406
2008-10-27,63439.621102484096,7742.91983966025,624.1395734920892,26821.37325677716,31793.865163164894,6796.270190195147,59275.30143288584,10192.703050507547
2008-11-03,75866.30241006754,8213.433606942908,638.2002121373965,30986.88313710328,37552.18298994951,6155.482860973622,64840.16709125014,9985.331323863064
2008-11-10,71582.45460487314,8166.756940077868,657.4571761437197,28125.175853012668,46072.2994086949,5521.019235246149,65712.69151955594,9363.681751894905
2008-11-17,64635.8514269294,8921.193494027162,731.5730513804467,26199.014974992377,58040.62988011851,5124.7674676776105,62494.6159566142,9921.151396740152
2008-11-24,56298.79287265269,16018.502729169835,788.8813017995598,31267.70984774438,57913.86027352552,4027.1110300004702,62632.28417129804,10364.554924776554
2008-12-01,57331.39527420563,17018.62106509501,773.3804287173488,36150.81425140381,65282.390257258005,3873.725428442195,67580.83338581241,11229.332675215326
2008-12-08,56212.55088290498,17998.302261705354,835.6968899327456,38196.69088315277,64070.37955622288,3875.704669404889,74641.33765073118,10236.152182874945
2008-12-15,64129.94788511351,19581.1515116822,1111.833245987496,39561.04226384196,67424.05958120828,3595.9596635314188,80455.72996534444,11681.612261928509
2008-12-22,56170.85148712973,18936.953737475826,1172.2846747557735,36400.640730698186,67029.77157617308,3623.63552773238,69924.09038257942,10379.277304036092
